yourlist:M20181105AAFB7E4D2F1D05654627429E83DA5CCE019D69D	Entry	Status	Protein names	Organism	Length	Gene names  (primary )	Entry name	Glycosylation
Q9NTZ6	Q9NTZ6	reviewed	RNA-binding protein 12 (RNA-binding motif protein 12) (SH3/WW domain anchor protein in the nucleus) (SWAN)	Homo sapiens (Human)	932	RBM12	RBM12_HUMAN	
Q9NU22	Q9NU22	reviewed	Midasin (Dynein-related AAA-ATPase MDN1) (MIDAS-containing protein)	Homo sapiens (Human)	5596	MDN1	MDN1_HUMAN	
Q9NUL3	Q9NUL3	reviewed	Double-stranded RNA-binding protein Staufen homolog 2	Homo sapiens (Human)	570	STAU2	STAU2_HUMAN	
Q9NUL7	Q9NUL7	reviewed	Probable ATP-dependent RNA helicase DDX28 (EC 3.6.4.13) (Mitochondrial DEAD box protein 28)	Homo sapiens (Human)	540	DDX28	DDX28_HUMAN	
Q9NUM4	Q9NUM4	reviewed	Transmembrane protein 106B	Homo sapiens (Human)	274	TMEM106B	T106B_HUMAN	CARBOHYD 145 145 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:22511793}.; CARBOHYD 151 151 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:22511793}.; CARBOHYD 164 164 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:22511793}.; CARBOHYD 183 183 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218, ECO:0000269|PubMed:22511793, ECO:0000269|PubMed:23742080}.; CARBOHYD 256 256 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:22511793}.
Q9NUP9	Q9NUP9	reviewed	Protein lin-7 homolog C (Lin-7C) (Mammalian lin-seven protein 3) (MALS-3) (Vertebrate lin-7 homolog 3) (Veli-3)	Homo sapiens (Human)	197	LIN7C	LIN7C_HUMAN	
Q9NUQ6	Q9NUQ6	reviewed	SPATS2-like protein (DNA polymerase-transactivated protein 6) (Stress granule and nucleolar protein) (SGNP)	Homo sapiens (Human)	558	SPATS2L	SPS2L_HUMAN	
Q9NUQ8	Q9NUQ8	reviewed	ATP-binding cassette sub-family F member 3	Homo sapiens (Human)	709	ABCF3	ABCF3_HUMAN	
Q9NUQ9	Q9NUQ9	reviewed	Protein FAM49B (L1)	Homo sapiens (Human)	324	FAM49B	FA49B_HUMAN	
Q9NUY8	Q9NUY8	reviewed	TBC1 domain family member 23 (HCV non-structural protein 4A-transactivated protein 1)	Homo sapiens (Human)	699	TBC1D23	TBC23_HUMAN	
Q9NV96	Q9NV96	reviewed	Cell cycle control protein 50A (P4-ATPase flippase complex beta subunit TMEM30A) (Transmembrane protein 30A)	Homo sapiens (Human)	361	TMEM30A	CC50A_HUMAN	CARBOHYD 180 180 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 190 190 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19349973}.; CARBOHYD 294 294 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.
Q9NVA2	Q9NVA2	reviewed	Septin-11	Homo sapiens (Human)	429	SEPT11	SEP11_HUMAN	
Q9NVH0	Q9NVH0	reviewed	Exonuclease 3'-5' domain-containing protein 2 (EC 3.1.11.1) (Exonuclease 3'-5' domain-like-containing protein 2)	Homo sapiens (Human)	621	EXD2	EXD2_HUMAN	
Q9NVI1	Q9NVI1	reviewed	Fanconi anemia group I protein (Protein FACI)	Homo sapiens (Human)	1328	FANCI	FANCI_HUMAN	
Q9NVI7	Q9NVI7	reviewed	ATPase family AAA domain-containing protein 3A	Homo sapiens (Human)	634	ATAD3A	ATD3A_HUMAN	
Q9NVJ2	Q9NVJ2	reviewed	ADP-ribosylation factor-like protein 8B (ADP-ribosylation factor-like protein 10C) (Novel small G protein indispensable for equal chromosome segregation 1)	Homo sapiens (Human)	186	ARL8B	ARL8B_HUMAN	
Q9NVP1	Q9NVP1	reviewed	ATP-dependent RNA helicase DDX18 (EC 3.6.4.13) (DEAD box protein 18) (Myc-regulated DEAD box protein) (MrDb)	Homo sapiens (Human)	670	DDX18	DDX18_HUMAN	
Q9NVS2	Q9NVS2	reviewed	39S ribosomal protein S18a, mitochondrial (MRP-S18-a) (Mrps18a) (S18mt-a) (39S ribosomal protein S18-3, mitochondrial) (MRP-S18-3) (Mitochondrial large ribosomal subunit protein bS18a) (Mitochondrial large ribosomal subunit protein mL66)	Homo sapiens (Human)	196	MRPS18A	RT18A_HUMAN	
Q9NVV4	Q9NVV4	reviewed	Poly(A) RNA polymerase, mitochondrial (PAP) (EC 2.7.7.19) (PAP-associated domain-containing protein 1) (Polynucleotide adenylyltransferase) (Terminal uridylyltransferase 1) (TUTase 1) (mtPAP)	Homo sapiens (Human)	582	MTPAP	PAPD1_HUMAN	
Q9NVX2	Q9NVX2	reviewed	Notchless protein homolog 1	Homo sapiens (Human)	485	NLE1	NLE1_HUMAN	
Q9NW13	Q9NW13	reviewed	RNA-binding protein 28 (RNA-binding motif protein 28)	Homo sapiens (Human)	759	RBM28	RBM28_HUMAN	
Q9NWB6	Q9NWB6	reviewed	Arginine and glutamate-rich protein 1	Homo sapiens (Human)	273	ARGLU1	ARGL1_HUMAN	
Q9NWH9	Q9NWH9	reviewed	SAFB-like transcription modulator (Modulator of estrogen-induced transcription)	Homo sapiens (Human)	1034	SLTM	SLTM_HUMAN	
Q9NX24	Q9NX24	reviewed	H/ACA ribonucleoprotein complex subunit 2 (Nucleolar protein family A member 2) (snoRNP protein NHP2)	Homo sapiens (Human)	153	NHP2	NHP2_HUMAN	
Q9NXC5	Q9NXC5	reviewed	GATOR complex protein MIOS (Missing oocyte meiosis regulator homolog)	Homo sapiens (Human)	875	MIOS	MIO_HUMAN	
Q9NXE4	Q9NXE4	reviewed	Sphingomyelin phosphodiesterase 4 (EC 3.1.4.12) (Neutral sphingomyelinase 3) (nSMase-3) (nSMase3) (Neutral sphingomyelinase III)	Homo sapiens (Human)	866	SMPD4	NSMA3_HUMAN	
Q9NXF1	Q9NXF1	reviewed	Testis-expressed protein 10	Homo sapiens (Human)	929	TEX10	TEX10_HUMAN	
Q9NXG2	Q9NXG2	reviewed	THUMP domain-containing protein 1	Homo sapiens (Human)	353	THUMPD1	THUM1_HUMAN	
Q9NXR1	Q9NXR1	reviewed	Nuclear distribution protein nudE homolog 1 (NudE)	Homo sapiens (Human)	335	NDE1	NDE1_HUMAN	
Q9NXV6	Q9NXV6	reviewed	CDKN2A-interacting protein (Collaborator of ARF)	Homo sapiens (Human)	580	CDKN2AIP	CARF_HUMAN	
Q9NY12	Q9NY12	reviewed	H/ACA ribonucleoprotein complex subunit 1 (Nucleolar protein family A member 1) (snoRNP protein GAR1)	Homo sapiens (Human)	217	GAR1	GAR1_HUMAN	
Q9NY33	Q9NY33	reviewed	Dipeptidyl peptidase 3 (EC 3.4.14.4) (Dipeptidyl aminopeptidase III) (Dipeptidyl arylamidase III) (Dipeptidyl peptidase III) (DPP III) (Enkephalinase B)	Homo sapiens (Human)	737	DPP3	DPP3_HUMAN	
Q9NY93	Q9NY93	reviewed	Probable ATP-dependent RNA helicase DDX56 (EC 3.6.4.13) (ATP-dependent 61 kDa nucleolar RNA helicase) (DEAD box protein 21) (DEAD box protein 56)	Homo sapiens (Human)	547	DDX56	DDX56_HUMAN	
Q9NYF8	Q9NYF8	reviewed	Bcl-2-associated transcription factor 1 (Btf) (BCLAF1 and THRAP3 family member 1)	Homo sapiens (Human)	920	BCLAF1	BCLF1_HUMAN	
Q9NYJ8	Q9NYJ8	reviewed	TGF-beta-activated kinase 1 and MAP3K7-binding protein 2 (Mitogen-activated protein kinase kinase kinase 7-interacting protein 2) (TAK1-binding protein 2) (TAB-2) (TGF-beta-activated kinase 1-binding protein 2)	Homo sapiens (Human)	693	TAB2	TAB2_HUMAN	
Q9NYK5	Q9NYK5	reviewed	39S ribosomal protein L39, mitochondrial (L39mt) (MRP-L39) (39S ribosomal protein L5, mitochondrial) (L5mt) (MRP-L5) (Mitochondrial large ribosomal subunit protein mL39)	Homo sapiens (Human)	338	MRPL39	RM39_HUMAN	
Q9NYL2	Q9NYL2	reviewed	Mitogen-activated protein kinase kinase kinase 20 (EC 2.7.11.25) (Human cervical cancer suppressor gene 4 protein) (HCCS-4) (Leucine zipper- and sterile alpha motif-containing kinase) (MLK-like mitogen-activated protein triple kinase) (Mitogen-activated protein kinase kinase kinase MLT) (Mixed lineage kinase-related kinase) (MLK-related kinase) (MRK) (Sterile alpha motif- and leucine zipper-containing kinase AZK)	Homo sapiens (Human)	800	MAP3K20	M3K20_HUMAN	
Q9NYU2	Q9NYU2	reviewed	UDP-glucose:glycoprotein glucosyltransferase 1 (UGT1) (hUGT1) (EC 2.4.1.-) (UDP--Glc:glycoprotein glucosyltransferase) (UDP-glucose ceramide glucosyltransferase-like 1)	Homo sapiens (Human)	1555	UGGT1	UGGG1_HUMAN	CARBOHYD 536 536 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1228 1228 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
Q9NYY8	Q9NYY8	reviewed	FAST kinase domain-containing protein 2, mitochondrial	Homo sapiens (Human)	710	FASTKD2	FAKD2_HUMAN	
Q9NYZ3	Q9NYZ3	reviewed	G2 and S phase-expressed protein 1 (GTSE-1) (Protein B99 homolog)	Homo sapiens (Human)	720	GTSE1	GTSE1_HUMAN	
Q9NZ52	Q9NZ52	reviewed	ADP-ribosylation factor-binding protein GGA3 (Golgi-localized, gamma ear-containing, ARF-binding protein 3)	Homo sapiens (Human)	723	GGA3	GGA3_HUMAN	
Q9NZB2	Q9NZB2	reviewed	Constitutive coactivator of PPAR-gamma-like protein 1 (Oxidative stress-associated Src activator) (Protein FAM120A)	Homo sapiens (Human)	1118	FAM120A	F120A_HUMAN	
Q9NZJ4	Q9NZJ4	reviewed	Sacsin (DnaJ homolog subfamily C member 29) (DNAJC29)	Homo sapiens (Human)	4579	SACS	SACS_HUMAN	
Q9NZM1	Q9NZM1	reviewed	Myoferlin (Fer-1-like protein 3)	Homo sapiens (Human)	2061	MYOF	MYOF_HUMAN	
Q9NZM3	Q9NZM3	reviewed	Intersectin-2 (SH3 domain-containing protein 1B) (SH3P18) (SH3P18-like WASP-associated protein)	Homo sapiens (Human)	1697	ITSN2	ITSN2_HUMAN	
Q9NZT1	Q9NZT1	reviewed	Calmodulin-like protein 5 (Calmodulin-like skin protein)	Homo sapiens (Human)	146	CALML5	CALL5_HUMAN	
Q9NZT2	Q9NZT2	reviewed	Opioid growth factor receptor (OGFr) (Protein 7-60) (Zeta-type opioid receptor)	Homo sapiens (Human)	677	OGFR	OGFR_HUMAN	
Q9NZU5	Q9NZU5	reviewed	LIM and cysteine-rich domains protein 1 (Dyxin)	Homo sapiens (Human)	365	LMCD1	LMCD1_HUMAN	
Q9NZW5	Q9NZW5	reviewed	MAGUK p55 subfamily member 6 (Veli-associated MAGUK 1) (VAM-1)	Homo sapiens (Human)	540	MPP6	MPP6_HUMAN	
Q9P015	Q9P015	reviewed	39S ribosomal protein L15, mitochondrial (L15mt) (MRP-L15) (Mitochondrial large ribosomal subunit protein uL15m)	Homo sapiens (Human)	296	MRPL15	RM15_HUMAN	
Q9P035	Q9P035	reviewed	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3 (EC 4.2.1.134) (3-hydroxyacyl-CoA dehydratase 3) (HACD3) (Butyrate-induced protein 1) (B-ind1) (hB-ind1) (Protein-tyrosine phosphatase-like A domain-containing protein 1)	Homo sapiens (Human)	362	HACD3	HACD3_HUMAN	
Q9P0K7	Q9P0K7	reviewed	Ankycorbin (Ankyrin repeat and coiled-coil structure-containing protein) (Novel retinal pigment epithelial cell protein) (Retinoic acid-induced protein 14)	Homo sapiens (Human)	980	RAI14	RAI14_HUMAN	
Q9P0L0	Q9P0L0	reviewed	Vesicle-associated membrane protein-associated protein A (VAMP-A) (VAMP-associated protein A) (VAP-A) (33 kDa VAMP-associated protein) (VAP-33)	Homo sapiens (Human)	249	VAPA	VAPA_HUMAN	
Q9P0T7	Q9P0T7	reviewed	Transmembrane protein 9 (Dermal papilla-derived protein 4)	Homo sapiens (Human)	183	TMEM9	TMEM9_HUMAN	CARBOHYD 21 21 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 38 38 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 47 47 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
Q9P0U3	Q9P0U3	reviewed	Sentrin-specific protease 1 (EC 3.4.22.-) (Sentrin/SUMO-specific protease SENP1)	Homo sapiens (Human)	644	SENP1	SENP1_HUMAN	
Q9P0V3	Q9P0V3	reviewed	SH3 domain-binding protein 4 (EH-binding protein 10) (Transferrin receptor-trafficking protein)	Homo sapiens (Human)	963	SH3BP4	SH3B4_HUMAN	
Q9P0V9	Q9P0V9	reviewed	Septin-10	Homo sapiens (Human)	454	SEPT10	SEP10_HUMAN	
Q9P121	Q9P121	reviewed	Neurotrimin (hNT) (IgLON family member 2)	Homo sapiens (Human)	344	NTM	NTRI_HUMAN	CARBOHYD 44 44 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 70 70 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 152 152 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 284 284 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 292 292 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 305 305 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 321 321 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
Q9P1Y6	Q9P1Y6	reviewed	PHD and RING finger domain-containing protein 1	Homo sapiens (Human)	1649	PHRF1	PHRF1_HUMAN	
Q9P206	Q9P206	reviewed	Uncharacterized protein KIAA1522	Homo sapiens (Human)	1035	KIAA1522	K1522_HUMAN	
Q9P253	Q9P253	reviewed	Vacuolar protein sorting-associated protein 18 homolog (hVPS18)	Homo sapiens (Human)	973	VPS18	VPS18_HUMAN	
Q9P258	Q9P258	reviewed	Protein RCC2 (RCC1-like protein TD-60) (Telophase disk protein of 60 kDa)	Homo sapiens (Human)	522	RCC2	RCC2_HUMAN	
Q9P265	Q9P265	reviewed	Disco-interacting protein 2 homolog B (DIP2 homolog B)	Homo sapiens (Human)	1576	DIP2B	DIP2B_HUMAN	
Q9P266	Q9P266	reviewed	Junctional protein associated with coronary artery disease (JCAD)	Homo sapiens (Human)	1359	JCAD	JCAD_HUMAN	
Q9P270	Q9P270	reviewed	SLAIN motif-containing protein 2	Homo sapiens (Human)	581	SLAIN2	SLAI2_HUMAN	
Q9P273	Q9P273	reviewed	Teneurin-3 (Ten-3) (Protein Odd Oz/ten-m homolog 3) (Tenascin-M3) (Ten-m3) (Teneurin transmembrane protein 3)	Homo sapiens (Human)	2699	TENM3	TEN3_HUMAN	CARBOHYD 345 345 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 380 380 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 419 419 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 670 670 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 860 860 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 883 883 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1202 1202 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1527 1527 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1544 1544 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1640 1640 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1677 1677 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1735 1735 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1820 1820 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1921 1921 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 2124 2124 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 2264 2264 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 2576 2576 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
Q9P275	Q9P275	reviewed	Ubiquitin carboxyl-terminal hydrolase 36 (EC 3.4.19.12) (Deubiquitinating enzyme 36) (Ubiquitin thioesterase 36) (Ubiquitin-specific-processing protease 36)	Homo sapiens (Human)	1123	USP36	UBP36_HUMAN	
Q9P2B2	Q9P2B2	reviewed	Prostaglandin F2 receptor negative regulator (CD9 partner 1) (CD9P-1) (Glu-Trp-Ile EWI motif-containing protein F) (EWI-F) (Prostaglandin F2-alpha receptor regulatory protein) (Prostaglandin F2-alpha receptor-associated protein) (CD antigen CD315)	Homo sapiens (Human)	879	PTGFRN	FPRP_HUMAN	CARBOHYD 44 44 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:17960739}.; CARBOHYD 286 286 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:17960739, ECO:0000269|PubMed:19159218}.; CARBOHYD 300 300 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:17960739, ECO:0000269|PubMed:19159218}.; CARBOHYD 383 383 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:17960739}.; CARBOHYD 413 413 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:17960739}.; CARBOHYD 525 525 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:17960739}.; CARBOHYD 600 600 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:17960739}.; CARBOHYD 618 618 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:17960739}.; CARBOHYD 691 691 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:17960739}.
Q9P2B4	Q9P2B4	reviewed	CTTNBP2 N-terminal-like protein	Homo sapiens (Human)	639	CTTNBP2NL	CT2NL_HUMAN	
Q9P2D3	Q9P2D3	reviewed	HEAT repeat-containing protein 5B	Homo sapiens (Human)	2071	HEATR5B	HTR5B_HUMAN	
Q9P2E3	Q9P2E3	reviewed	NFX1-type zinc finger-containing protein 1	Homo sapiens (Human)	1918	ZNFX1	ZNFX1_HUMAN	
Q9P2E9	Q9P2E9	reviewed	Ribosome-binding protein 1 (180 kDa ribosome receptor homolog) (RRp) (ES/130-related protein) (Ribosome receptor protein)	Homo sapiens (Human)	1410	RRBP1	RRBP1_HUMAN	
Q9P2G1	Q9P2G1	reviewed	Ankyrin repeat and IBR domain-containing protein 1 (EC 2.3.2.31)	Homo sapiens (Human)	1089	ANKIB1	AKIB1_HUMAN	
Q9P2I0	Q9P2I0	reviewed	Cleavage and polyadenylation specificity factor subunit 2 (Cleavage and polyadenylation specificity factor 100 kDa subunit) (CPSF 100 kDa subunit)	Homo sapiens (Human)	782	CPSF2	CPSF2_HUMAN	
Q9P2J5	Q9P2J5	reviewed	Leucine--tRNA ligase, cytoplasmic (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)	Homo sapiens (Human)	1176	LARS	SYLC_HUMAN	
Q9P2K5	Q9P2K5	reviewed	Myelin expression factor 2 (MEF-2) (MyEF-2) (MST156)	Homo sapiens (Human)	600	MYEF2	MYEF2_HUMAN	
Q9P2M7	Q9P2M7	reviewed	Cingulin	Homo sapiens (Human)	1197	CGN	CING_HUMAN	
Q9P2N5	Q9P2N5	reviewed	RNA-binding protein 27 (RNA-binding motif protein 27)	Homo sapiens (Human)	1060	RBM27	RBM27_HUMAN	
Q9P2R3	Q9P2R3	reviewed	Rabankyrin-5 (Rank-5) (Ankyrin repeat and FYVE domain-containing protein 1) (Ankyrin repeats hooked to a zinc finger motif)	Homo sapiens (Human)	1169	ANKFY1	ANFY1_HUMAN	
Q9QX47	Q9QX47	reviewed	Protein SON (Negative regulatory element-binding protein) (NRE-binding protein)	Mus musculus (Mouse)	2444	Son	SON_MOUSE	
Q9UBB4	Q9UBB4	reviewed	Ataxin-10 (Brain protein E46 homolog) (Spinocerebellar ataxia type 10 protein)	Homo sapiens (Human)	475	ATXN10	ATX10_HUMAN	
Q9UBC2	Q9UBC2	reviewed	Epidermal growth factor receptor substrate 15-like 1 (Eps15-related protein) (Eps15R)	Homo sapiens (Human)	864	EPS15L1	EP15R_HUMAN	
Q9UBE0	Q9UBE0	reviewed	SUMO-activating enzyme subunit 1 (Ubiquitin-like 1-activating enzyme E1A) [Cleaved into: SUMO-activating enzyme subunit 1, N-terminally processed]	Homo sapiens (Human)	346	SAE1	SAE1_HUMAN	
Q9UBF2	Q9UBF2	reviewed	Coatomer subunit gamma-2 (Gamma-2-coat protein) (Gamma-2-COP)	Homo sapiens (Human)	871	COPG2	COPG2_HUMAN	
Q9UBG0	Q9UBG0	reviewed	C-type mannose receptor 2 (C-type lectin domain family 13 member E) (Endocytic receptor 180) (Macrophage mannose receptor 2) (Urokinase-type plasminogen activator receptor-associated protein) (UPAR-associated protein) (Urokinase receptor-associated protein) (CD antigen CD280)	Homo sapiens (Human)	1479	MRC2	MRC2_HUMAN	CARBOHYD 69 69 N-linked (GlcNAc...) (complex) asparagine. {ECO:0000269|PubMed:19139490, ECO:0000269|PubMed:19159218}.; CARBOHYD 140 140 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 364 364 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 588 588 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 954 954 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1029 1029 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 1350 1350 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
Q9UBN7	Q9UBN7	reviewed	Histone deacetylase 6 (HD6) (EC 3.5.1.98)	Homo sapiens (Human)	1215	HDAC6	HDAC6_HUMAN	
Q9UBP4	Q9UBP4	reviewed	Dickkopf-related protein 3 (Dickkopf-3) (Dkk-3) (hDkk-3)	Homo sapiens (Human)	350	DKK3	DKK3_HUMAN	CARBOHYD 26 26 O-linked (GalNAc...) threonine. {ECO:0000269|PubMed:23234360}.; CARBOHYD 28 28 O-linked (GalNAc...) threonine. {ECO:0000269|PubMed:23234360}.; CARBOHYD 96 96 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 106 106 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 121 121 N-linked (GlcNAc...) asparagine. {ECO:0000255}.; CARBOHYD 204 204 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
Q9UBR2	Q9UBR2	reviewed	Cathepsin Z (EC 3.4.18.1) (Cathepsin P) (Cathepsin X)	Homo sapiens (Human)	303	CTSZ	CATZ_HUMAN	CARBOHYD 184 184 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.; CARBOHYD 224 224 N-linked (GlcNAc...) asparagine. {ECO:0000255}.
Q9UBS4	Q9UBS4	reviewed	DnaJ homolog subfamily B member 11 (APOBEC1-binding protein 2) (ABBP-2) (DnaJ protein homolog 9) (ER-associated DNAJ) (ER-associated Hsp40 co-chaperone) (Endoplasmic reticulum DNA J domain-containing protein 3) (ER-resident protein ERdj3) (ERdj3) (ERj3p) (HEDJ) (Human DnaJ protein 9) (hDj-9) (PWP1-interacting protein 4)	Homo sapiens (Human)	358	DNAJB11	DJB11_HUMAN	CARBOHYD 261 261 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.
Q9UBU9	Q9UBU9	reviewed	Nuclear RNA export factor 1 (Tip-associated protein) (Tip-associating protein) (mRNA export factor TAP)	Homo sapiens (Human)	619	NXF1	NXF1_HUMAN	
Q9UBW7	Q9UBW7	reviewed	Zinc finger MYM-type protein 2 (Fused in myeloproliferative disorders protein) (Rearranged in atypical myeloproliferative disorder protein) (Zinc finger protein 198)	Homo sapiens (Human)	1377	ZMYM2	ZMYM2_HUMAN	
Q9UDY2	Q9UDY2	reviewed	Tight junction protein ZO-2 (Tight junction protein 2) (Zona occludens protein 2) (Zonula occludens protein 2)	Homo sapiens (Human)	1190	TJP2	ZO2_HUMAN	
Q9UER7	Q9UER7	reviewed	Death domain-associated protein 6 (Daxx) (hDaxx) (ETS1-associated protein 1) (EAP1) (Fas death domain-associated protein)	Homo sapiens (Human)	740	DAXX	DAXX_HUMAN	
Q9UET6	Q9UET6	reviewed	Putative tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase (EC 2.1.1.205) (2'-O-ribose RNA methyltransferase TRM7 homolog) (Protein ftsJ homolog 1)	Homo sapiens (Human)	329	FTSJ1	TRM7_HUMAN	
Q9UEU0	Q9UEU0	reviewed	Vesicle transport through interaction with t-SNAREs homolog 1B (Vesicle transport v-SNARE protein Vti1-like 1) (Vti1-rp1)	Homo sapiens (Human)	232	VTI1B	VTI1B_HUMAN	
Q9UEY8	Q9UEY8	reviewed	Gamma-adducin (Adducin-like protein 70)	Homo sapiens (Human)	706	ADD3	ADDG_HUMAN	
Q9UGR2	Q9UGR2	reviewed	Zinc finger CCCH domain-containing protein 7B (Rotavirus 'X'-associated non-structural protein) (RoXaN)	Homo sapiens (Human)	993	ZC3H7B	Z3H7B_HUMAN	
Q9UGU0	Q9UGU0	reviewed	Transcription factor 20 (TCF-20) (Nuclear factor SPBP) (Protein AR1) (Stromelysin-1 PDGF-responsive element-binding protein) (SPRE-binding protein)	Homo sapiens (Human)	1960	TCF20	TCF20_HUMAN	
Q9UH17	Q9UH17	reviewed	DNA dC->dU-editing enzyme APOBEC-3B (A3B) (EC 3.5.4.-) (Phorbolin-1-related protein) (Phorbolin-2/3)	Homo sapiens (Human)	382	APOBEC3B	ABC3B_HUMAN	
Q9UH99	Q9UH99	reviewed	SUN domain-containing protein 2 (Protein unc-84 homolog B) (Rab5-interacting protein) (Rab5IP) (Sad1/unc-84 protein-like 2)	Homo sapiens (Human)	717	SUN2	SUN2_HUMAN	CARBOHYD 636 636 N-linked (GlcNAc...) asparagine. {ECO:0000269|PubMed:19159218}.
Q9UHB6	Q9UHB6	reviewed	LIM domain and actin-binding protein 1 (Epithelial protein lost in neoplasm)	Homo sapiens (Human)	759	LIMA1	LIMA1_HUMAN	
Q9UHB9	Q9UHB9	reviewed	Signal recognition particle subunit SRP68 (SRP68) (Signal recognition particle 68 kDa protein)	Homo sapiens (Human)	627	SRP68	SRP68_HUMAN	
Q9UHD1	Q9UHD1	reviewed	Cysteine and histidine-rich domain-containing protein 1 (CHORD domain-containing protein 1) (CHORD-containing protein 1) (CHP-1) (Protein morgana)	Homo sapiens (Human)	332	CHORDC1	CHRD1_HUMAN	
Q9UHD8	Q9UHD8	reviewed	Septin-9 (MLL septin-like fusion protein MSF-A) (MLL septin-like fusion protein) (Ovarian/Breast septin) (Ov/Br septin) (Septin D1)	Homo sapiens (Human)	586	SEPT9	SEPT9_HUMAN	
Q9UHD9	Q9UHD9	reviewed	Ubiquilin-2 (Chap1) (DSK2 homolog) (Protein linking IAP with cytoskeleton 2) (PLIC-2) (hPLIC-2) (Ubiquitin-like product Chap1/Dsk2)	Homo sapiens (Human)	624	UBQLN2	UBQL2_HUMAN	
Q9UHI6	Q9UHI6	reviewed	Probable ATP-dependent RNA helicase DDX20 (EC 3.6.4.13) (Component of gems 3) (DEAD box protein 20) (DEAD box protein DP 103) (Gemin-3)	Homo sapiens (Human)	824	DDX20	DDX20_HUMAN	
